,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
102,0,3,1,4.0,4,1,29.125,0,1,0
103,0,3,0,26.0,1,0,16.1,0,0,1
104,0,1,1,50.0,1,0,55.9,0,0,1
105,1,2,0,33.0,0,2,26.0,0,0,1
106,1,1,1,42.0,0,0,26.2875,0,0,1
107,0,1,1,71.0,0,0,49.5042,1,0,0
108,0,3,0,30.0,0,0,8.6625,0,0,1
109,1,3,0,5.0,2,1,19.2583,1,0,0
110,1,3,1,19.0,0,0,8.05,0,0,1
111,1,3,1,32.0,0,0,8.05,0,0,1
112,0,2,1,36.0,0,0,13.0,0,0,1
113,0,3,1,17.0,1,0,7.0542,0,0,1
114,1,3,1,6.0,0,1,12.475,0,0,1
115,1,1,0,54.0,1,0,78.2667,1,0,0
116,0,2,1,31.0,1,1,26.25,0,0,1
117,0,3,1,22.0,0,0,9.0,0,0,1
118,0,2,1,35.0,0,0,10.5,0,0,1
119,0,2,1,25.0,1,2,41.5792,1,0,0
120,0,3,1,42.0,0,1,8.4042,0,0,1
121,1,1,0,29.0,0,0,211.3375,0,0,1
122,1,3,0,31.0,1,1,20.525,0,0,1
123,0,3,1,19.0,0,0,7.8958,0,0,1
124,0,2,1,25.0,0,0,13.0,0,0,1
125,1,2,1,62.0,0,0,10.5,0,0,1
126,0,3,1,25.0,0,0,7.225,1,0,0
127,1,2,1,3.0,1,1,26.0,0,0,1
128,0,1,1,47.0,0,0,34.0208,0,0,1
129,0,3,0,31.0,1,0,18.0,0,0,1
130,0,1,1,22.0,0,0,135.6333,1,0,0
131,0,3,1,39.0,1,5,31.275,0,0,1
132,1,2,0,40.0,1,1,39.0,0,0,1
133,0,3,1,28.0,0,0,22.525,0,0,1
134,0,3,1,59.0,0,0,7.25,0,0,1
135,0,2,1,16.0,0,0,26.0,0,0,1
136,0,2,1,19.0,0,0,13.0,0,0,1
137,0,3,1,21.0,0,0,7.8542,0,0,1
138,0,2,1,52.0,0,0,13.0,0,0,1
139,0,2,1,23.0,2,1,11.5,0,0,1
140,1,2,0,28.0,1,0,26.0,0,0,1
141,1,1,1,4.0,0,2,81.8583,0,0,1
142,0,3,1,20.0,0,0,7.925,0,0,1
143,1,1,0,30.0,0,0,93.5,0,0,1
144,0,1,1,19.0,3,2,263.0,0,0,1
145,0,3,1,29.0,0,0,7.875,0,0,1
146,0,3,1,26.0,0,0,7.8958,0,0,1
147,0,2,1,30.0,0,0,13.0,0,0,1
148,0,3,0,18.0,2,0,18.0,0,0,1
149,0,1,1,33.0,0,0,5.0,0,0,1
150,0,1,1,42.0,1,0,52.0,0,0,1
151,0,3,0,18.0,0,1,14.4542,1,0,0
152,0,1,1,18.0,1,0,108.9,1,0,0
153,0,2,1,30.0,0,0,10.5,0,0,1
154,1,3,0,2.0,0,1,12.2875,0,0,1
155,0,2,1,19.0,1,1,36.75,0,0,1
156,1,1,1,38.0,1,0,90.0,0,0,1
157,0,3,1,17.0,1,1,7.2292,1,0,0
158,0,1,1,58.0,0,0,29.7,1,0,0
159,0,2,1,26.0,0,0,10.5,0,0,1
160,0,3,1,51.0,0,0,7.0542,0,0,1
161,1,3,0,4.0,0,2,22.025,0,0,1
162,0,1,1,30.0,0,0,27.75,1,0,0
163,0,3,1,4.0,4,2,31.275,0,0,1
164,0,2,1,19.0,0,0,10.5,0,0,1
165,0,3,1,16.0,1,1,20.25,0,0,1
166,0,3,1,61.0,0,0,6.2375,0,0,1
167,0,1,1,60.0,0,0,26.55,0,0,1
168,0,3,1,35.0,0,0,8.05,0,0,1
169,0,3,1,21.0,0,0,16.1,0,0,1
170,0,2,1,39.0,0,0,13.0,0,0,1
171,1,1,0,24.0,3,2,263.0,0,0,1
172,0,3,1,45.5,0,0,7.225,1,0,0
173,0,3,1,24.0,0,0,7.8958,0,0,1
174,0,3,1,20.0,0,0,8.6625,0,0,1
175,1,2,1,1.0,0,2,37.0042,1,0,0
176,0,3,1,26.0,2,0,8.6625,0,0,1
177,0,2,1,23.0,0,0,13.0,0,0,1
178,0,3,1,21.0,0,0,8.6625,0,0,1
179,0,3,1,36.0,1,1,24.15,0,0,1
180,0,3,0,9.0,2,2,34.375,0,0,1
181,0,3,1,8.0,4,1,29.125,0,1,0
182,0,3,1,9.0,4,2,31.3875,0,0,1
183,0,3,0,29.0,0,4,21.075,0,0,1
184,0,3,1,39.0,0,0,24.15,0,0,1
185,0,3,1,25.0,1,0,7.775,0,0,1
186,0,3,1,26.0,0,0,7.8875,0,0,1
187,0,2,1,36.0,1,2,27.75,0,0,1
188,0,3,1,9.0,5,2,46.9,0,0,1
189,0,3,0,45.0,0,0,7.75,0,0,1
190,1,2,0,29.0,0,0,10.5,0,0,1
191,1,1,0,16.0,0,0,86.5,0,0,1
192,0,3,1,22.0,1,0,7.25,0,0,1
193,1,3,0,22.0,0,0,7.775,0,0,1
194,0,3,0,43.0,1,6,46.9,0,0,1
195,1,3,0,24.0,1,0,15.85,0,0,1
196,0,3,1,16.0,0,0,9.5,0,0,1
197,0,3,0,47.0,1,0,14.5,0,0,1
198,0,3,1,18.0,0,0,8.3,0,0,1
199,0,3,1,30.0,0,0,7.25,0,0,1
200,0,1,1,55.0,0,0,30.5,0,0,1
201,0,3,1,18.0,0,0,7.75,0,0,1
202,0,3,1,19.0,0,0,7.8958,0,0,1
203,0,3,1,35.0,0,0,7.05,0,0,1
204,1,2,0,22.0,1,2,41.5792,1,0,0
205,0,3,1,17.0,0,0,8.6625,0,0,1
206,1,1,0,15.0,0,1,211.3375,0,0,1
207,1,3,1,29.0,0,0,7.8958,1,0,0
208,0,1,1,21.0,0,1,77.2875,0,0,1
209,0,2,1,29.0,1,0,27.7208,1,0,0
210,0,3,1,32.0,0,0,7.925,0,0,1
211,0,3,1,47.0,0,0,7.25,0,0,1
212,1,1,0,38.0,0,0,227.525,1,0,0
213,0,3,1,20.0,0,0,7.05,0,0,1
214,1,1,0,36.0,0,0,135.6333,1,0,0
215,1,1,0,44.0,0,1,57.9792,1,0,0
216,1,3,0,36.0,1,0,17.4,0,0,1
217,1,2,0,32.0,0,0,13.0,0,0,1
218,0,1,1,28.0,1,0,82.1708,1,0,0
219,1,1,0,30.0,0,0,56.9292,1,0,0
220,1,2,0,13.0,0,1,19.5,0,0,1
221,1,1,0,17.0,1,0,108.9,1,0,0
222,0,2,1,34.0,1,0,21.0,0,0,1
223,0,3,0,8.0,3,1,21.075,0,0,1
224,1,2,0,50.0,0,0,10.5,0,0,1
225,0,3,0,18.0,1,0,17.8,0,0,1
226,1,1,0,31.0,1,0,113.275,1,0,0
227,0,3,0,37.0,0,0,9.5875,0,0,1
228,0,3,1,50.0,0,0,8.05,0,0,1
229,0,3,1,51.0,0,0,8.05,0,0,1
230,0,3,1,16.0,4,1,39.6875,0,0,1
231,1,1,0,52.0,1,0,78.2667,1,0,0
232,1,3,1,44.0,0,0,7.925,0,0,1
233,0,3,1,25.0,0,0,7.65,0,0,1
234,0,3,1,23.0,0,0,9.225,0,0,1
235,0,3,1,23.0,0,0,7.8958,0,0,1
236,0,3,1,30.0,0,0,7.225,1,0,0
237,1,3,0,24.0,0,2,16.7,0,0,1
238,0,3,1,19.0,0,0,7.775,0,0,1
239,0,3,0,40.0,1,0,9.475,0,0,1
240,1,1,1,27.0,0,0,76.7292,1,0,0
241,1,1,0,39.0,1,1,110.8833,1,0,0
242,1,2,0,21.0,0,0,10.5,0,0,1
243,0,3,1,22.0,0,0,8.05,0,0,1
244,1,1,0,40.0,1,1,134.5,1,0,0
245,1,1,0,56.0,0,1,83.1583,1,0,0
246,0,3,1,41.0,2,0,14.1083,0,0,1
247,0,1,1,58.0,0,2,113.275,1,0,0
248,0,1,0,25.0,1,2,151.55,0,0,1
249,1,2,0,22.0,1,1,29.0,0,0,1
250,0,3,1,24.0,0,0,7.7958,0,0,1
251,1,1,1,28.0,0,0,26.55,0,0,1
252,0,3,1,22.0,0,0,9.35,0,0,1
253,0,3,1,17.0,0,0,8.6625,0,0,1
254,0,3,1,55.5,0,0,8.05,0,0,1
255,1,3,1,20.0,0,0,7.2292,1,0,0
256,1,2,0,35.0,0,0,21.0,0,0,1
257,0,3,1,34.5,0,0,6.4375,1,0,0
258,1,1,0,22.0,1,0,66.6,0,0,1
259,0,3,1,2.0,3,1,21.075,0,0,1
260,1,3,1,30.0,0,0,9.5,0,0,1
261,0,3,0,10.0,0,2,24.15,0,0,1
262,0,3,1,39.0,0,0,7.925,0,0,1
263,0,1,1,36.0,1,0,78.85,0,0,1
264,0,1,1,37.0,0,1,29.7,1,0,0
265,0,3,1,24.0,0,0,7.4958,0,0,1
266,1,2,0,8.0,0,2,26.25,0,0,1
267,0,2,1,23.0,0,0,13.0,0,0,1
268,1,3,0,15.0,0,0,7.225,1,0,0
269,1,2,0,40.0,0,0,13.0,0,0,1
270,0,3,1,4.0,3,2,27.9,0,0,1
271,0,2,1,28.0,0,0,10.5,0,0,1
272,0,3,1,19.0,0,0,8.05,0,0,1
273,1,1,0,36.0,0,2,71.0,0,0,1
274,0,2,1,27.0,0,0,26.0,0,0,1
275,0,3,1,7.0,4,1,29.125,0,1,0
276,1,1,0,22.0,0,0,151.55,0,0,1
277,0,1,1,45.0,1,0,83.475,0,0,1
278,1,3,0,22.0,0,0,7.75,0,1,0
279,1,2,0,19.0,1,0,26.0,0,0,1
280,0,2,1,34.0,0,0,13.0,0,0,1
281,1,2,0,25.0,1,1,30.0,0,0,1
282,0,3,0,23.0,0,0,7.925,0,0,1
283,0,1,1,28.0,0,0,47.1,0,0,1
284,0,2,1,37.0,1,0,26.0,0,0,1
285,1,3,0,19.0,1,0,7.8542,0,0,1
286,0,3,0,45.0,0,1,14.4542,1,0,0
287,1,2,0,2.0,1,1,26.0,0,0,1
288,0,3,1,42.0,0,0,8.6625,0,0,1
289,0,3,1,51.0,0,0,7.75,0,0,1
290,1,3,0,63.0,0,0,9.5875,0,0,1
291,0,3,1,40.5,0,2,14.5,0,0,1
292,1,3,1,0.42,0,1,8.5167,1,0,0
293,0,3,1,26.0,1,0,14.4542,1,0,0
294,1,1,0,33.0,1,0,53.1,0,0,1
295,1,2,0,3.0,1,2,41.5792,1,0,0
296,0,3,1,28.0,0,0,7.8958,0,0,1
297,0,1,1,62.0,0,0,26.55,0,0,1
298,0,3,1,20.0,0,0,7.8542,0,0,1
299,0,2,1,31.0,1,1,37.0042,1,0,0
300,0,3,1,22.0,0,0,7.2292,1,0,0
301,1,3,0,38.0,1,5,31.3875,0,0,1
302,0,3,1,45.0,0,0,6.975,0,0,1
303,0,2,1,42.0,1,0,27.0,0,0,1
304,0,2,1,54.0,1,0,26.0,0,0,1
305,1,2,0,19.0,0,0,26.0,0,0,1
306,0,2,0,24.0,0,0,13.0,0,0,1
307,0,3,1,36.0,0,0,7.4958,0,0,1
308,1,3,0,16.0,0,0,7.75,0,1,0
309,1,3,1,1.0,1,2,20.575,0,0,1
310,1,1,0,41.0,0,0,134.5,1,0,0
311,0,2,1,36.0,0,0,10.5,0,0,1
312,1,1,0,48.0,0,0,25.9292,0,0,1
313,0,1,1,37.0,1,0,53.1,0,0,1
314,1,1,0,51.0,1,0,77.9583,0,0,1
315,0,2,1,52.0,0,0,13.5,0,0,1
316,0,3,1,24.0,0,0,7.05,0,0,1
317,1,3,1,27.0,0,0,7.7958,0,0,1
318,0,3,1,20.0,0,0,7.8542,0,0,1
319,1,3,0,18.0,0,0,9.8417,0,0,1
320,0,3,1,26.0,0,0,8.05,0,0,1
321,0,3,1,26.0,0,0,7.775,0,0,1
322,1,1,0,14.0,1,2,120.0,0,0,1
323,0,1,1,50.0,1,0,106.425,1,0,0
324,1,1,0,16.0,0,1,39.4,0,0,1
325,1,1,1,35.0,0,0,26.55,1,0,0
326,1,2,0,29.0,1,0,26.0,0,0,1
327,1,3,0,4.0,0,1,13.4167,1,0,0
328,0,1,1,54.0,0,0,51.8625,0,0,1
329,0,2,0,27.0,1,0,21.0,0,0,1
330,0,2,1,43.0,1,1,26.25,0,0,1
331,0,3,1,30.0,0,0,8.05,0,0,1
332,0,3,1,22.0,0,0,7.8958,0,0,1
333,1,1,1,36.0,0,0,26.3875,0,0,1
334,0,3,1,20.0,0,0,9.8458,0,0,1
335,1,1,1,45.0,0,0,26.55,0,0,1
336,1,2,0,42.0,0,0,13.0,0,0,1
337,1,2,0,24.0,2,3,18.75,0,0,1
338,0,3,1,19.0,0,0,10.1708,0,0,1
339,0,3,0,24.0,0,0,8.85,0,0,1
340,0,3,1,32.0,0,0,7.8958,0,0,1
341,1,2,0,41.0,0,1,19.5,0,0,1
342,0,2,1,18.0,0,0,13.0,0,0,1
343,1,2,0,29.0,1,0,26.0,0,0,1
344,1,1,1,23.0,0,1,63.3583,1,0,0
345,1,3,1,29.0,0,0,7.75,0,1,0
346,1,1,1,50.0,2,0,133.65,0,0,1
347,0,3,1,28.0,0,0,9.5,0,0,1
348,1,1,1,25.0,1,0,91.0792,1,0,0
349,0,1,1,47.0,0,0,38.5,0,0,1
350,1,1,0,18.0,2,2,262.375,1,0,0
351,0,3,1,24.0,0,0,8.05,0,0,1
352,0,2,1,32.5,1,0,30.0708,1,0,0
353,0,3,1,20.5,0,0,7.25,0,0,1
354,0,2,1,27.0,0,0,13.0,0,0,1
355,0,2,0,44.0,1,0,26.0,0,0,1
356,0,3,0,30.5,0,0,7.75,0,1,0
357,0,2,1,32.0,0,0,10.5,0,0,1
358,0,3,1,7.0,4,1,39.6875,0,0,1
359,1,2,1,2.0,1,1,26.0,0,0,1
360,0,3,0,25.0,0,0,7.775,0,0,1
361,0,3,0,45.0,1,4,27.9,0,0,1
362,0,3,1,25.0,0,0,7.8958,0,0,1
363,0,3,1,20.0,0,0,8.05,0,0,1
364,0,3,1,35.0,0,0,8.05,0,0,1
365,1,3,1,26.0,0,0,18.7875,1,0,0
366,1,1,1,0.92,1,2,151.55,0,0,1
367,0,2,1,24.0,0,0,10.5,0,0,1
368,1,2,0,14.0,1,0,30.0708,1,0,0
369,1,1,1,34.0,0,0,26.55,0,0,1
370,0,3,1,21.0,0,0,7.25,0,0,1
371,1,1,0,33.0,0,0,86.5,0,0,1
372,0,3,0,2.0,4,2,31.275,0,0,1
373,0,3,1,29.0,0,0,7.775,0,0,1
374,1,2,0,24.0,1,2,65.0,0,0,1
375,1,2,0,24.0,0,0,13.0,0,0,1
376,0,3,0,21.0,0,0,7.75,0,1,0
377,0,3,1,34.0,1,1,14.4,0,0,1
378,1,2,0,7.0,0,2,26.25,0,0,1
379,1,3,1,25.0,0,0,0.0,0,0,1
380,0,3,1,34.0,0,0,8.05,0,0,1
381,1,1,1,60.0,1,1,79.2,1,0,0
382,1,2,0,33.0,1,2,27.75,0,0,1
383,1,2,1,0.83,0,2,29.0,0,0,1
384,0,3,1,42.0,0,0,7.65,0,0,1
385,0,3,1,22.0,0,0,7.125,0,0,1
386,1,1,0,44.0,0,0,27.7208,1,0,0
387,0,3,1,21.0,0,0,7.7333,0,1,0
388,1,2,0,5.0,1,2,27.75,0,0,1
389,0,1,1,46.0,1,0,61.175,0,0,1
390,1,2,0,34.0,0,0,10.5,0,0,1
391,1,3,0,21.0,0,0,7.65,0,0,1
392,0,3,1,32.0,0,0,7.925,0,0,1
393,0,1,1,45.0,0,0,35.5,0,0,1
394,0,3,0,9.0,3,2,27.9,0,0,1
395,0,2,1,57.0,0,0,12.35,0,1,0
396,1,2,0,54.0,1,3,23.0,0,0,1
397,0,2,1,21.0,1,0,11.5,0,0,1
398,0,3,1,21.0,0,0,7.925,0,0,1
399,1,3,0,1.0,0,2,15.7417,1,0,0
400,1,2,0,32.5,0,0,13.0,0,0,1
401,0,2,1,54.0,0,0,26.0,0,0,1
402,1,3,0,15.0,0,0,8.0292,0,1,0
403,1,1,0,43.0,0,1,211.3375,0,0,1
404,0,3,1,41.0,0,0,7.125,0,0,1
405,1,1,0,30.0,0,0,86.5,0,0,1
406,0,2,1,28.0,0,0,13.5,0,0,1
407,0,3,0,18.0,0,0,6.75,0,1,0
408,0,2,1,34.0,0,0,13.0,0,0,1
409,0,2,1,21.0,0,0,73.5,0,0,1
410,0,3,1,25.0,0,0,7.25,0,0,1
411,1,1,1,32.0,0,0,30.5,1,0,0
412,0,3,1,28.0,0,0,56.4958,0,0,1
413,0,3,1,30.0,0,0,7.2292,1,0,0
414,1,2,0,36.0,1,0,26.0,0,0,1
415,0,2,1,28.0,0,1,33.0,0,0,1
416,1,1,0,23.0,1,0,113.275,1,0,0
417,0,3,1,33.0,1,1,20.525,0,0,1
418,0,3,1,34.0,0,0,8.05,0,0,1
419,1,2,1,8.0,1,1,36.75,0,0,1
420,0,3,1,40.0,0,0,7.225,1,0,0
421,0,3,1,10.0,3,2,27.9,0,0,1
422,0,3,1,18.0,1,1,20.2125,0,0,1
423,0,2,1,35.0,0,0,26.0,0,0,1
424,0,1,1,65.0,0,1,61.9792,1,0,0
425,1,2,0,24.0,1,0,26.0,0,0,1
426,1,1,0,50.0,0,1,247.5208,1,0,0
427,1,1,1,49.0,1,0,56.9292,1,0,0
428,1,1,0,39.0,1,0,55.9,0,0,1
429,1,3,1,21.0,0,0,7.7958,0,0,1
430,0,3,1,17.0,0,0,7.125,0,0,1
431,0,1,1,31.0,0,0,50.4958,0,0,1
432,0,1,1,39.0,0,0,0.0,0,0,1
433,0,3,1,1.0,5,2,46.9,0,0,1
434,0,3,1,18.0,0,0,7.775,0,0,1
435,0,3,0,6.0,4,2,31.275,0,0,1
436,0,3,1,30.0,0,0,8.05,0,0,1
437,0,3,1,24.0,1,0,16.1,0,0,1
438,1,1,0,52.0,1,1,93.5,0,0,1
439,0,2,1,70.0,0,0,10.5,0,0,1
440,0,3,1,33.0,0,0,7.8958,1,0,0
441,0,2,0,26.0,1,1,26.0,0,0,1
442,0,3,1,33.0,0,0,8.6625,1,0,0
443,0,3,0,48.0,1,3,34.375,0,0,1
444,0,3,1,19.0,0,0,0.0,0,0,1
445,0,1,1,24.0,0,0,79.2,1,0,0
446,0,1,1,64.0,1,4,263.0,0,0,1
447,1,2,1,0.67,1,1,14.5,0,0,1
448,1,2,0,28.0,1,0,24.0,1,0,0
449,1,1,0,39.0,1,1,83.1583,1,0,0
450,1,3,1,39.0,0,0,7.925,0,0,1
451,1,3,0,23.0,0,0,7.55,0,0,1
452,0,3,1,22.0,0,0,7.25,0,0,1
453,1,1,0,54.0,1,0,59.4,1,0,0
454,0,3,1,36.0,0,0,0.0,0,0,1
455,0,3,1,21.0,0,0,7.775,0,0,1
456,0,3,1,28.0,0,0,9.5,0,0,1
457,0,2,1,50.0,0,0,13.0,0,0,1
458,0,3,0,2.0,0,1,10.4625,0,0,1
459,1,3,1,3.0,1,1,15.9,0,0,1
460,1,1,0,35.0,1,0,52.0,0,0,1
461,1,3,1,32.0,0,0,7.925,0,0,1
462,1,2,0,31.0,1,1,26.25,0,0,1
463,0,3,0,41.0,0,2,20.2125,0,0,1
464,0,3,0,18.0,0,0,7.775,0,0,1
465,1,2,0,17.0,0,0,10.5,0,0,1
466,0,2,1,60.0,1,1,39.0,0,0,1
467,0,3,1,21.0,0,0,7.925,0,0,1
468,1,2,0,25.0,0,1,26.0,0,0,1
469,0,3,0,29.0,1,1,10.4625,0,0,1
470,1,3,1,20.0,1,1,15.7417,1,0,0
471,0,1,1,45.0,0,0,26.55,0,0,1
472,1,1,1,36.0,0,0,26.2875,0,0,1
473,1,3,0,17.0,4,2,7.925,0,0,1
474,0,3,1,36.0,0,0,7.8958,0,0,1
475,0,3,0,21.0,1,0,9.825,0,0,1
476,0,3,0,2.0,3,2,27.9,0,0,1
477,0,3,1,33.0,0,0,7.775,0,0,1
478,0,3,0,25.0,1,0,7.925,0,0,1
479,1,1,0,32.0,0,0,76.2917,1,0,0
480,1,1,1,52.0,0,0,30.5,0,0,1
481,1,2,0,40.0,0,0,15.75,0,0,1
482,0,2,1,25.0,1,0,26.0,0,0,1
483,0,1,1,45.5,0,0,28.5,0,0,1
484,1,1,0,19.0,0,2,26.2833,0,0,1
485,0,2,1,18.0,0,0,11.5,0,0,1
486,0,3,1,19.0,0,0,8.1583,0,0,1
487,0,3,1,20.0,0,0,9.5,0,0,1
488,1,1,1,36.0,1,2,120.0,0,0,1
489,1,1,0,35.0,1,0,83.475,0,0,1
490,0,1,1,40.0,0,0,0.0,0,0,1
491,1,2,0,27.0,1,0,13.8583,1,0,0
492,0,3,1,16.0,0,0,7.775,0,0,1
493,0,3,1,21.0,0,0,7.8,0,0,1
494,0,2,1,34.0,1,0,26.0,0,0,1
495,0,3,1,22.0,0,0,7.25,0,0,1
496,0,3,1,44.0,0,0,8.05,0,0,1
497,1,1,0,19.0,0,0,30.0,0,0,1
498,0,2,1,24.0,0,0,13.0,0,0,1
499,0,3,1,16.0,0,0,8.05,0,0,1
500,1,2,0,45.0,0,0,13.5,0,0,1
501,0,2,1,47.0,0,0,15.0,0,0,1
502,1,1,1,42.0,1,0,52.5542,0,0,1
503,1,2,1,31.0,0,0,13.0,0,0,1
504,0,2,1,39.0,0,0,26.0,0,0,1
505,0,3,1,25.0,0,0,7.05,0,0,1
506,1,3,0,0.75,2,1,19.2583,1,0,0
507,1,2,0,30.0,0,0,13.0,0,0,1
508,1,3,1,24.0,0,0,7.1417,0,0,1
509,1,1,0,35.0,0,0,512.3292,1,0,0
510,1,2,0,24.0,2,1,27.0,0,0,1
511,0,2,1,42.0,0,0,13.0,0,0,1
512,1,3,1,27.0,0,0,8.6625,0,0,1
513,0,3,1,30.0,0,0,7.8958,0,0,1
514,0,3,1,37.0,2,0,7.925,0,0,1
515,1,1,0,18.0,1,0,227.525,1,0,0
516,1,1,0,49.0,0,0,25.9292,0,0,1
517,0,3,1,48.0,0,0,7.8542,0,0,1
518,1,1,0,22.0,0,2,49.5,1,0,0
519,1,3,1,32.0,0,0,56.4958,0,0,1
520,1,1,1,27.0,1,0,53.1,0,0,1
521,0,3,1,42.0,0,0,7.55,0,0,1
522,0,1,1,47.0,0,0,52.0,0,0,1
523,1,2,0,48.0,1,2,65.0,0,0,1
524,0,3,1,43.0,0,0,6.45,0,0,1
525,0,3,0,41.0,0,5,39.6875,0,0,1
526,0,2,1,25.0,0,0,13.0,0,0,1
527,0,3,1,44.0,0,0,8.05,0,0,1
